id,name,height,weight,hp,attack,defense,s_attack,s_defense,speed,type,evo_set,info,total_stats,physical_bias,offensive_bias,stat_variance,weight_height_ratio,evo_set_size,hp_category,attack_category,defense_category,s_attack_category,s_defense_category,speed_category,total_stats_category
12,butterfree,11,320,60,45,50,90,80,70,"{bug,flying}",4,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",395,0.5588235294117647,1.0384615384615385,253.4722222222222,29.09090909090909,3,Low,Very Low,Very Low,Medium,Medium,Medium,Low
13,weedle,3,32,40,35,30,20,20,50,"{bug,poison}",5,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",195,1.625,1.1,114.58333333333333,10.666666666666666,3,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low
14,kakuna,6,100,45,25,50,25,25,35,"{bug,poison}",5,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",205,1.5,0.6666666666666666,103.47222222222221,16.666666666666668,3,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
15,beedrill,10,295,65,90,40,45,80,75,"{bug,poison}",5,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,395,1.04,1.125,328.47222222222223,29.5,3,Low,Medium,Very Low,Very Low,Medium,Medium,Low
16,pidgey,3,18,40,45,40,35,35,56,"{normal,flying}",6,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,251,1.2142857142857142,1.0666666666666667,51.80555555555555,6.0,3,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low
17,pidgeotto,11,300,63,60,55,50,50,71,"{normal,flying}",6,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",349,1.15,1.0476190476190477,55.805555555555564,27.272727272727273,3,Low,Low,Low,Low,Very Low,Medium,Low
18,pidgeot,15,395,83,80,75,70,70,101,"{normal,flying}",6,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",479,1.1071428571428572,1.0344827586206897,112.47222222222223,26.333333333333332,3,Medium,Medium,Medium,Medium,Medium,High,Medium
19,rattata,3,35,30,56,35,25,35,72,{normal},7,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",253,1.5166666666666666,1.1571428571428573,271.1388888888889,11.666666666666666,2,Very Low,Low,Very Low,Very Low,Very Low,Medium,Very Low
20,raticate,7,185,55,81,60,50,70,97,{normal},7,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,413,1.175,1.0076923076923077,261.1388888888889,26.428571428571427,2,Low,Medium,Low,Low,Medium,High,Medium
21,spearow,3,20,40,60,30,31,31,70,"{normal,flying}",8,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",262,1.4516129032258065,1.4918032786885247,246.88888888888889,6.666666666666667,2,Very Low,Low,Very Low,Very Low,Very Low,Medium,Very Low
22,fearow,12,380,65,90,65,61,61,100,"{normal,flying}",8,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",442,1.2704918032786885,1.1984126984126984,238.55555555555557,31.666666666666668,2,Low,Medium,Low,Low,Low,High,Medium
23,ekans,20,69,35,60,44,40,54,55,{poison},9,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",288,1.1063829787234043,1.0204081632653061,79.66666666666667,3.45,2,Very Low,Low,Very Low,Very Low,Low,Low,Very Low
24,arbok,35,650,60,95,69,65,79,80,{poison},9,It is rumored that the ferocious warning markings on its belly differ from area to area.,448,1.1388888888888888,1.0810810810810811,133.55555555555554,18.571428571428573,2,Low,Medium,Low,Low,Medium,Medium,Medium
25,pikachu,4,60,35,55,40,50,50,90,{electric},10,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",320,0.95,1.1666666666666667,313.88888888888886,15.0,3,Very Low,Very Low,Very Low,Low,Very Low,High,Low
26,raichu,8,300,60,90,55,90,80,110,{electric},10,Its long tail serves as a ground to protect itself from its own high-voltage power.,485,0.8529411764705882,1.3333333333333333,353.4722222222222,37.5,3,Low,Medium,Low,Medium,Medium,High,High
27,sandshrew,6,120,50,75,85,20,30,40,{ground},11,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,300,3.2,0.8260869565217391,541.6666666666666,20.0,2,Very Low,Low,Medium,Very Low,Very Low,Very Low,Very Low
28,sandslash,10,295,75,100,110,45,55,65,{ground},11,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,450,2.1,0.8787878787878788,541.6666666666666,29.5,2,Medium,Medium,High,Very Low,Low,Low,Medium
29,nidoran-f,4,70,55,47,52,40,40,41,{poison},12,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",275,1.2375,0.9456521739130435,35.80555555555555,17.5,3,Low,Very Low,Low,Very Low,Very Low,Very Low,Very Low
30,nidorina,8,200,70,62,67,55,55,56,{poison},12,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,365,1.1727272727272726,0.9590163934426229,35.80555555555555,25.0,3,Medium,Low,Low,Low,Low,Low,Low
31,nidoqueen,13,600,90,92,87,75,85,76,"{poison,ground}",12,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,505,1.11875,0.9709302325581395,42.47222222222223,46.15384615384615,3,High,Medium,Medium,Medium,Medium,Medium,High
32,nidoran-m,5,90,46,57,40,40,40,50,{poison},13,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",273,1.2125,1.2125,40.583333333333336,18.0,3,Very Low,Low,Very Low,Very Low,Very Low,Low,Very Low
33,nidorino,9,195,61,72,57,55,55,65,{poison},13,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,365,1.1727272727272726,1.1339285714285714,37.47222222222222,21.666666666666668,3,Low,Low,Low,Low,Low,Low,Low
34,nidoking,14,620,81,102,77,85,75,85,"{poison,ground}",13,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",505,1.11875,1.230263157894737,77.47222222222224,44.285714285714285,3,Medium,High,Medium,Medium,Medium,Medium,High
35,clefairy,6,75,70,45,48,60,65,35,{fairy},14,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,323,0.744,0.9292035398230089,148.4722222222222,12.5,3,Medium,Very Low,Very Low,Low,Low,Very Low,Low
36,clefable,13,400,95,70,73,95,90,60,{fairy},14,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,483,0.772972972972973,1.0122699386503067,182.91666666666666,30.76923076923077,3,High,Low,Medium,High,High,Low,High
37,vulpix,6,99,38,41,40,50,65,65,{fire},15,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",299,0.7043478260869566,0.8666666666666667,129.13888888888889,16.5,2,Very Low,Very Low,Very Low,Low,Low,Low,Very Low
38,ninetales,11,199,73,76,75,81,100,100,{fire},15,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,505,0.8342541436464088,0.8971428571428571,131.1388888888889,18.09090909090909,2,Medium,Medium,Medium,Medium,High,High,High
39,jigglypuff,5,55,115,45,20,45,25,20,"{normal,fairy}",16,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",270,0.9285714285714286,2.0,1091.6666666666667,11.0,3,High,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
40,wigglytuff,10,120,140,70,45,85,50,45,"{normal,fairy}",16,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",435,0.8518518518518519,1.631578947368421,1122.9166666666667,12.0,3,High,Low,Very Low,Medium,Very Low,Very Low,Medium
41,zubat,8,75,40,45,35,30,40,55,"{poison,flying}",17,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,245,1.1428571428571428,1.0,61.805555555555564,9.375,3,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low
42,golbat,16,550,75,80,70,65,75,90,"{poison,flying}",17,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",455,1.0714285714285714,1.0,61.80555555555555,34.375,3,Medium,Medium,Low,Low,Medium,High,Medium
43,oddish,5,54,45,50,55,75,65,30,"{grass,poison}",18,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",320,0.75,1.0416666666666667,205.55555555555557,10.8,4,Very Low,Very Low,Low,Medium,Low,Very Low,Low
44,gloom,8,86,60,65,70,85,75,40,"{grass,poison}",18,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,395,0.84375,1.0344827586206897,195.1388888888889,10.75,4,Low,Low,Low,Medium,Medium,Very Low,Low
45,vileplume,12,186,75,80,85,110,90,50,"{grass,poison}",18,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",490,0.825,1.0857142857142856,322.22222222222223,15.5,4,Medium,Medium,Medium,High,High,Low,High
46,paras,3,54,35,70,55,45,55,25,"{bug,grass}",19,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,285,1.25,1.0454545454545454,214.58333333333334,18.0,2,Very Low,Low,Low,Very Low,Low,Very Low,Very Low
47,parasect,10,295,60,95,80,60,80,30,"{bug,grass}",19,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,405,1.25,0.96875,431.25,29.5,2,Low,Medium,Medium,Low,Medium,Very Low,Low
48,venonat,10,300,60,55,50,40,55,45,"{bug,poison}",20,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,305,1.105263157894737,0.9047619047619048,45.138888888888886,30.0,2,Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low
49,venomoth,15,125,70,65,60,90,75,90,"{bug,poison}",20,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,450,0.7575757575757576,1.1481481481481481,133.33333333333334,8.333333333333334,2,Medium,Low,Low,Medium,Medium,High,Medium
50,diglett,2,8,10,55,25,35,45,95,{ground},21,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,265,1.0,1.2857142857142858,720.1388888888888,4.0,2,Very Low,Very Low,Very Low,Very Low,Very Low,High,Very Low
51,dugtrio,7,333,35,100,50,50,70,120,{ground},21,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,425,1.25,1.25,903.4722222222223,47.57142857142857,2,Very Low,Medium,Very Low,Low,Medium,High,Medium
52,meowth,4,42,40,45,35,40,40,90,{normal},22,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,290,1.0,1.1333333333333333,355.5555555555555,10.5,3,Very Low,Very Low,Very Low,Very Low,Very Low,High,Very Low
53,persian,10,320,65,70,60,65,65,115,{normal},22,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",440,1.0,1.08,355.5555555555556,32.0,3,Low,Low,Low,Low,Low,High,Medium
54,psyduck,8,196,50,52,48,65,50,55,{water},23,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",320,0.8695652173913043,1.1938775510204083,31.88888888888889,24.5,2,Very Low,Very Low,Very Low,Low,Very Low,Low,Low
55,golduck,17,766,80,82,78,95,80,85,{water},23,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",500,0.9142857142857143,1.120253164556962,31.88888888888889,45.05882352941177,2,Medium,Medium,Medium,High,Medium,Medium,High
56,mankey,5,280,40,80,35,35,45,70,{fighting},24,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,305,1.4375,1.4375,311.8055555555556,56.0,3,Very Low,Medium,Very Low,Very Low,Very Low,Medium,Very Low
57,primeape,10,320,65,105,60,60,70,95,{fighting},24,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,455,1.2692307692307692,1.2692307692307692,311.8055555555556,32.0,3,Low,High,Low,Low,Medium,High,Medium
58,growlithe,7,190,55,70,45,70,50,60,{fire},25,Very protective of its territory. It will bark and bite to repel intruders from its space.,350,0.9583333333333334,1.4736842105263157,88.88888888888887,27.142857142857142,2,Low,Low,Very Low,Medium,Very Low,Low,Low
59,arcanine,19,1550,90,110,80,100,80,95,{fire},25,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,555,1.0555555555555556,1.3125,114.58333333333333,81.57894736842105,2,High,High,Medium,High,Medium,High,Very High
60,poliwag,6,124,40,50,40,40,40,90,{water},26,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,300,1.125,1.125,333.3333333333333,20.666666666666668,4,Very Low,Very Low,Very Low,Very Low,Very Low,High,Very Low
61,poliwhirl,10,200,65,65,65,50,50,90,{water},26,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",385,1.3,1.0,178.4722222222222,20.0,4,Low,Low,Low,Low,Very Low,High,Low
62,poliwrath,13,540,90,95,95,70,90,70,"{water,fighting}",26,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,510,1.1875,0.8918918918918919,116.66666666666667,41.53846153846154,4,High,Medium,High,Medium,High,Medium,High
63,abra,9,195,25,20,15,105,55,90,{psychic},27,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",310,0.21875,1.7857142857142858,1230.5555555555554,21.666666666666668,3,Very Low,Very Low,Very Low,High,Low,High,Low
64,kadabra,13,565,40,35,30,120,70,105,{psychic},27,It emits special alpha waves from its body that induce headaches just by being close by.,400,0.34210526315789475,1.55,1230.5555555555554,43.46153846153846,3,Very Low,Very Low,Very Low,High,Medium,High,Low
65,alakazam,15,480,55,50,45,135,95,120,{psychic},27,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",500,0.41304347826086957,1.3214285714285714,1255.5555555555557,32.0,3,Low,Very Low,Very Low,High,High,High,High
66,machop,8,195,70,80,50,35,35,35,{fighting},28,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,305,1.8571428571428572,1.3529411764705883,328.47222222222223,24.375,3,Medium,Medium,Very Low,Very Low,Very Low,Very Low,Very Low
67,machoke,15,705,80,100,70,50,60,45,{fighting},28,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",405,1.5454545454545454,1.1538461538461537,347.9166666666667,47.0,3,Medium,Medium,Low,Low,Low,Very Low,Low
68,machamp,16,1300,90,130,80,65,85,55,{fighting},28,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",505,1.4,1.1818181818181819,561.8055555555555,81.25,3,High,High,Medium,Low,Medium,Low,High
69,bellsprout,7,40,50,75,35,70,30,40,"{grass,poison}",29,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,300,1.1,2.230769230769231,291.6666666666667,5.714285714285714,3,Very Low,Low,Very Low,Medium,Very Low,Very Low,Very Low
70,weepinbell,10,64,65,90,50,85,45,55,"{grass,poison}",29,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,390,1.0769230769230769,1.8421052631578947,291.6666666666667,6.4,3,Low,Medium,Very Low,Medium,Very Low,Low,Low
71,victreebel,17,155,80,105,65,100,70,70,"{grass,poison}",29,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",490,1.0,1.5185185185185186,238.8888888888889,9.117647058823529,3,Medium,High,Low,High,Medium,Medium,High
72,tentacool,9,455,40,40,35,50,100,70,"{water,poison}",30,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,335,0.5,0.6666666666666666,520.1388888888889,50.55555555555556,2,Very Low,Very Low,Very Low,Low,High,Medium,Low
73,tentacruel,16,550,80,70,65,80,120,100,"{water,poison}",30,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",515,0.675,0.8108108108108109,353.4722222222222,34.375,2,Medium,Low,Low,Medium,High,High,High
74,geodude,4,200,40,80,100,30,30,20,"{rock,ground}",31,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",300,3.0,0.8461538461538461,866.6666666666666,50.0,3,Very Low,Medium,High,Very Low,Very Low,Very Low,Very Low
75,graveler,10,1050,55,95,115,45,45,35,"{rock,ground}",31,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,390,2.3333333333333335,0.875,866.6666666666666,105.0,3,Low,Medium,High,Very Low,Very Low,Very Low,Low
76,golem,14,3000,80,120,130,55,65,45,"{rock,ground}",31,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,495,2.0833333333333335,0.8974358974358975,1022.9166666666666,214.28571428571428,3,Medium,High,High,Low,Low,Very Low,High
77,ponyta,10,300,50,85,55,65,65,90,{fire},32,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,410,1.0769230769230769,1.25,213.88888888888889,30.0,2,Very Low,Medium,Low,Low,Low,High,Medium
78,rapidash,17,950,65,100,70,80,80,105,{fire},32,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",500,1.0625,1.2,213.88888888888889,55.88235294117647,2,Low,Medium,Low,Medium,Medium,High,High
79,slowpoke,12,360,90,65,65,40,40,15,"{water,psychic}",33,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.,315,1.625,1.0,572.9166666666666,30.0,3,High,Low,Low,Very Low,Very Low,Very Low,Low
80,slowbro,16,785,95,75,110,100,80,30,"{water,psychic}",33,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.,490,1.0277777777777777,0.9210526315789473,672.2222222222222,49.0625,3,High,Low,High,High,Medium,Very Low,High
81,magnemite,3,60,25,35,70,95,55,45,"{electric,steel}",34,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.,325,0.7,1.04,536.8055555555555,20.0,3,Very Low,Very Low,Low,High,Low,Very Low,Low
82,magneton,10,600,50,60,95,120,70,70,"{electric,steel}",34,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.,465,0.8157894736842105,1.0909090909090908,547.9166666666666,60.0,3,Very Low,Low,High,High,Medium,Medium,Medium
83,farfetchd,8,150,52,90,55,58,62,60,"{normal,flying}",35,The sprig of green onions it holds is its weapon. It is used much like a metal sword.,377,1.2083333333333333,1.264957264957265,158.13888888888889,18.75,2,Low,Medium,Low,Low,Low,Low,Low
84,doduo,14,392,35,85,45,35,35,75,"{normal,flying}",36,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,310,1.8571428571428572,1.5,422.22222222222234,28.0,2,Very Low,Medium,Very Low,Very Low,Very Low,Medium,Low
85,dodrio,18,852,60,110,70,60,60,110,"{normal,flying}",36,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.",470,1.5,1.3076923076923077,513.8888888888888,47.333333333333336,2,Low,High,Low,Low,Low,High,Medium
86,seel,11,900,65,45,55,45,70,45,{water},37,The protruding horn on its head is very hard. It is used for bashing through thick ice.,325,0.8695652173913043,0.72,103.47222222222223,81.81818181818181,2,Low,Very Low,Low,Very Low,Medium,Very Low,Low
87,dewgong,17,1200,90,70,80,70,95,70,"{water,ice}",37,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,475,0.9090909090909091,0.8,103.47222222222221,70.58823529411765,2,High,Low,Medium,Medium,High,Medium,Medium
88,grimer,9,300,80,80,50,40,50,25,{poison},38,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.,325,1.4444444444444444,1.2,403.4722222222222,33.333333333333336,2,Medium,Medium,Very Low,Very Low,Very Low,Very Low,Low
89,muk,12,300,105,105,75,65,100,50,{poison},38,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.",500,1.0909090909090908,0.9714285714285714,455.5555555555556,25.0,2,High,High,Medium,Low,High,Low,High
90,shellder,3,40,30,65,100,45,25,40,{water},39,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,305,2.357142857142857,0.88,645.1388888888889,13.333333333333334,2,Very Low,Low,High,Very Low,Very Low,Very Low,Very Low
91,cloyster,15,1325,50,95,180,85,45,70,"{water,ice}",39,"When attacked, it launches its horns in quick volleys. Its innards have never been seen.",525,2.1153846153846154,0.8,2022.9166666666667,88.33333333333333,2,Very Low,Medium,High,Medium,Very Low,Medium,High
92,gastly,13,1,30,35,30,100,35,80,"{ghost,poison}",40,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice.",310,0.48148148148148145,2.076923076923077,772.2222222222223,0.07692307692307693,3,Very Low,Very Low,Very Low,High,Very Low,Medium,Low
93,haunter,16,1,45,50,45,115,55,95,"{ghost,poison}",40,"Because of its ability to slip through block walls, it is said to be from an­ other dimension.",405,0.5588235294117647,1.65,747.9166666666666,0.0625,3,Very Low,Very Low,Very Low,High,Low,High,Low
94,gengar,15,405,60,65,60,130,75,110,"{ghost,poison}",40,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.",500,0.6097560975609756,1.4444444444444444,730.5555555555557,27.0,3,Low,Low,Low,High,Medium,High,High
95,onix,88,2100,35,45,160,30,45,70,"{rock,ground}",41,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black.",385,2.7333333333333334,0.36585365853658536,1995.138888888889,23.863636363636363,2,Very Low,Very Low,High,Very Low,Very Low,Medium,Low
96,drowzee,10,324,60,48,45,43,90,42,{psychic},42,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.,328,0.6992481203007519,0.674074074074074,285.22222222222223,32.4,2,Low,Very Low,Very Low,Very Low,High,Very Low,Low
97,hypno,16,756,85,73,70,73,115,67,{psychic},42,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION.",483,0.7606382978723404,0.7891891891891892,269.25,47.25,2,Medium,Low,Low,Medium,High,Medium,High
98,krabby,4,65,30,105,90,25,25,50,{water},43,"Its pincers are not only powerful weapons, they are used for balance when walking sideways.",325,3.9,1.1304347826086956,1028.4722222222224,16.25,2,Very Low,High,Medium,Very Low,Very Low,Low,Low
99,kingler,13,600,55,130,115,50,50,75,{water},43,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.",475,2.45,1.0909090909090908,1028.4722222222222,46.15384615384615,2,Low,High,High,Low,Very Low,Medium,Medium
100,voltorb,5,104,40,30,50,55,55,100,{electric},44,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.",330,0.7272727272727273,0.8095238095238095,483.3333333333333,20.8,2,Very Low,Very Low,Very Low,Low,Low,High,Low
101,electrode,12,666,60,50,70,80,80,150,{electric},44,It stores electric energy under very high pressure. It often explodes with little or no provocation.,490,0.75,0.8666666666666667,1047.2222222222222,55.5,2,Low,Very Low,Low,Medium,Medium,High,High
102,exeggcute,4,25,60,40,80,60,45,40,"{grass,psychic}",45,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.",325,1.1428571428571428,0.8,203.4722222222222,6.25,2,Low,Very Low,Medium,Low,Very Low,Very Low,Low
103,exeggutor,20,1200,95,95,85,125,75,55,"{grass,psychic}",45,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE.",530,0.9,1.375,455.5555555555555,60.0,2,High,Medium,Medium,High,Medium,Low,Very High
104,cubone,4,65,50,50,95,40,50,35,{ground},46,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face.",320,1.6111111111111112,0.6206896551724138,380.5555555555555,16.25,2,Very Low,Very Low,High,Very Low,Very Low,Very Low,Low
105,marowak,10,450,60,80,110,50,80,45,{ground},46,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.,425,1.4615384615384615,0.6842105263157895,486.8055555555555,45.0,2,Low,Medium,High,Low,Medium,Very Low,Medium
106,hitmonlee,15,498,50,120,53,35,110,87,{fighting},47,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.",455,1.193103448275862,0.950920245398773,1016.4722222222222,33.2,4,Very Low,High,Low,Very Low,High,Medium,Medium
107,hitmonchan,14,502,50,105,79,35,110,76,{fighting},47,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.",455,1.2689655172413794,0.7407407407407407,727.1388888888888,35.857142857142854,4,Very Low,High,Medium,Very Low,High,Medium,Medium
108,lickitung,12,655,90,55,75,60,75,30,{normal},48,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.,385,0.9629629629629629,0.7666666666666667,361.8055555555556,54.583333333333336,2,High,Very Low,Medium,Low,Medium,Very Low,Low
109,koffing,6,10,40,65,95,60,45,35,{poison},49,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.",340,1.5238095238095237,0.8928571428571429,405.5555555555555,1.6666666666666667,2,Very Low,Low,High,Low,Very Low,Very Low,Low
110,weezing,12,95,65,90,120,85,70,60,{poison},49,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years.",490,1.3548387096774193,0.9210526315789473,405.5555555555556,7.916666666666667,2,Low,Medium,High,Medium,Medium,Low,High
111,rhyhorn,10,1150,80,85,95,30,30,25,"{ground,rock}",50,"A POKéMON with a one-track mind. Once it charges,  it won't stop running until it falls asleep.",345,3.0,0.92,872.9166666666666,115.0,3,Medium,Medium,High,Very Low,Very Low,Very Low,Low
